post_shortcode,commenter_username,comment_text,comment_likes
DG4_hyAPuZF,___kohinoor_01,People in Kali Yuga are becoming gentle throughout the day,20
DG4_hyAPuZF,i.rajeev._.nair,Kaha mar gyi ab bheem army,14
DG4_hyAPuZF,fashioon_era_,Acid instead of acid,1
DG4_hyAPuZF,smart_samir777,:face_with_tears_of_joy::face_with_tears_of_joy::face_with_tears_of_joy: muslim,3
DG4_hyAPuZF,yamuneshsingh123,Rawan Neta BN Rha Tha Kahan Gya.,2
DG4_hyAPuZF,theaman_7465,Hey brother Bhima Army is said now …… is not raising any issue,48
DG4_hyAPuZF,balachavan1966,Ghr mai ma bahan nahi hai kya ... us bechari ladki ki galti thi ... tumhe itna hi josh tha to ghr mai ma bahan se krte ... Tab pata chlta insan kya hai,1
DG4_hyAPuZF,salunke.nihal,"Where are the "" all eyes on rafah "" people? Now where are celebrities and woke people ?",3
DG4_hyAPuZF,sanatni_2024,https://www.instagram.com/muskaan__sharma__2007?igsh=c3QwYzdzYXJlcG5n,0
DG4_hyAPuZF,ravindra189092,@Uppolice @muradabadpolice @myogi_adityanath,2
DG4_hyAPuZF,g_i_joe_oxo,@bhimarmychief will you post this reel on your page?,1
DG4_hyAPuZF,g_i_joe_oxo,@bjp4india strict action to be taken,1
DG4_hyAPuZF,g_i_joe_oxo,@shivsena will you please post this reel on your page?,1
DG4_hyAPuZF,g_i_joe_oxo,@jay_bhim_status_videos will you please post this reel on your page?,1
DG4_hyAPuZF,g_i_joe_oxo,@incindia will you please post this reel on your page...,1
DG4_hyAPuZF,vilson_bel,:face_with_tears_of_joy::face_with_tears_of_joy::face_with_tears_of_joy::face_with_tears_of_joy: Jay Bhim Jay Meme waale,3
DG4_hyAPuZF,shrmaa6400,"The friendly Chandrashekhar Ravana of Dalits has gone to his mother, he will not speak now because the Muslim vote bank will be angry: Fire :: Fire :: Fire:",2
DG4_hyAPuZF,exprnc11,Neele kabutar kaha h.,2
DG4_hyAPuZF,balachavan1966,Itani Nafarat Itani Krurat Kyu Hai Bhai. Insan ke pet se janm le kar haiyan ban rahe ho,0
DG4_hyAPuZF,kushwaha_balkrishna,Rawan called,7
DG4_hyAPuZF,hindumonukaushik,Where did the Dalit interest thinker Bhimand go? Did you drink Fevicol?,13
DG4_hyAPuZF,moosaalkhemi,In jihadi ko boti boti kat kar suwaron ko khilana chahiye,1
DG4_hyAPuZF,isaurabhmudgal,"Until this country. It will be a ruined country, society is wasting and spread like cancer and has sat around your house. And all of you are sitting and sleeping only today. If you keep sleeping like this, then the same will happen to you",0
DG4_hyAPuZF,parvesh_titorya,"The Rosa Iftar party held at Rishikul Ayurvedic College in which non -veg was being served in the dry area Rishikul Ayurvedic College has emerged as a new center of conversion, jihad, love jihad, Muslim boys are friendly and pushing them into sex racket by friendship with Hindu girls, they are friendship with Muslim youth, this is a serious crime, Honorable Chief Minister is a serious crime. On 8/03/2025, the Bajrang Dal opposed the incident. Gave a memorandum to the Chief Minister through the City Magistrate, gave a complaint letter to the Haridwar police and went to meet the college administration in protest against the incident where Bajrangdal was stopped at the gate but Bajrang Dal workers sat on the dharna there and all the management including the vice -chancellor had to come to the gate and hear the demands have been made and a high level committee has been made by the college and assured that action will be taken against all the guilty children.
Amit Kumar Multaniya 
District convenor 
Bajrangdal Haridwar 
9897585909
@highlight",4
