post_shortcode,commenter_username,comment_text,translated_text,comment_likes
DGnmkOJO5rx,ieshaetc_,:red_heart::red_heart::red_heart:,:red_heart::red_heart::red_heart:,1
DGnmkOJO5rx,parisamoayediofficial,:red_heart:,:red_heart:,1
DGnmkOJO5rx,dnnmnl_,:raising_hands:,:raising_hands:,1
DGnmkOJO5rx,fitmorena28,:fire::fire::fire::fire:,:fire::fire::fire::fire:,1
DGnmkOJO5rx,thefrugalandfabmom,:clapping_hands_medium-light_skin_tone::clapping_hands_medium-light_skin_tone::clapping_hands_medium-light_skin_tone:,:clapping_hands_medium-light_skin_tone::clapping_hands_medium-light_skin_tone::clapping_hands_medium-light_skin_tone:,1
DGnmkOJO5rx,iamkasha,:hundred_points::white_heart::sparkles:,:hundred_points::white_heart::sparkles:,1
DGnmkOJO5rx,liftsheavyeatswell,Wow :microphone: drop!!! :raising_hands:,Wow :microphone: drop!!! :raising_hands:,2
DGnmkOJO5rx,noralache,Yes:crying_face::red_heart:,Yes:crying_face::red_heart:,1
DGnmkOJO5rx,katyhughes_hairextensions,So true :raising_hands:,So true :raising_hands:,1
DGnmkOJO5rx,thejesskeffer,Oof this hit me hard! Beautiful words of wisdom. Definitely printing it and posting to my office wall :red_heart: :fire:,Oof this hit me hard! Beautiful words of wisdom. Definitely printing it and posting to my office wall :red_heart: :fire:,2
DGnmkOJO5rx,raquel.lyne,New chapters. New levels. :raising_hands:,New chapters. New levels. :raising_hands:,10
DGnmkOJO5rx,gutobabii,I been trynna understand these things due to my current circumstances,I been trynna understand these things due to my current circumstances,7
DGnmkOJO5rx,quartzcachers,"This is what you asked for, heavy is the crown! :raising_hands::raising_hands::raising_hands::smiling_face_with_heart-eyes::smiling_face_with_heart-eyes::smiling_face_with_heart-eyes:","This is what you asked for, heavy is the crown! :raising_hands::raising_hands::raising_hands::smiling_face_with_heart-eyes::smiling_face_with_heart-eyes::smiling_face_with_heart-eyes:",21
DGnmkOJO5rx,jaygruesome,"When asking for growth life does not give you discomfort, it gives you the awareness of your discomfort. It doesn’t demand sacrifice, it makes you aware of what’s holding you back. When you aim for greatness make sure you understand what it looks like to you otherwise you’ll get stuck in a loop of burnout waiting for the feeling to come. You can handle responsibility with ease or you can be frantic about it. We don’t need to keep up this negative narrative around growth and success. There is no price to pay only a refund for what held you back in the first place.","When asking for growth life does not give you discomfort, it gives you the awareness of your discomfort. It doesn’t demand sacrifice, it makes you aware of what’s holding you back. When you aim for greatness make sure you understand what it looks like to you otherwise you’ll get stuck in a loop of burnout waiting for the feeling to come. You can handle responsibility with ease or you can be frantic about it. We don’t need to keep up this negative narrative around growth and success. There is no price to pay only a refund for what held you back in the first place.",249
DGnmkOJO5rx,kelsturtevant,"Ooofff, right in the gut","Ooofff, right in the gut",1
DGnmkOJO5rx,gracemadlangawa,"It's hard to be in discomfort, to sacrifice, to carry the burden for so long and always that there seems no end, no success in sight. Can there be a little time to breathe? To drop the burden for awhile? To rest my mind and heart for awhile? To feel a brief peace? To experience a short happiness? Why can't it be like that. Stop for awhile and rest? Then come back again and be stronger and better to handle the burden again?","It's hard to be in discomfort, to sacrifice, to carry the burden for so long and always that there seems no end, no success in sight. Can there be a little time to breathe? To drop the burden for awhile? To rest my mind and heart for awhile? To feel a brief peace? To experience a short happiness? Why can't it be like that. Stop for awhile and rest? Then come back again and be stronger and better to handle the burden again?",41
DGnmkOJO5rx,robmhere,Patience and trust in the process will lead to extraordinary results :red_heart:,Patience and trust in the process will lead to extraordinary results :red_heart:,1
DGnmkOJO5rx,thedenyque,,,5
DGnmkOJO5rx,coachelyssakate,"I was just telling one of my clients this the other day! Everything in life comes with a price tag, you just need to choose what price bracket you’re comfortable in and stick to that!","I was just telling one of my clients this the other day! Everything in life comes with a price tag, you just need to choose what price bracket you’re comfortable in and stick to that!",15
DGnmkOJO5rx,leighrikka,@drealeebee,@drealeebee,1
DGnmkOJO5rx,pamela_parian,@el5guate :two_hearts::hundred_points:,@el5guate :two_hearts::hundred_points:,1
DGnmkOJO5rx,sportzrhode,Hits different at midnight,Hits different at midnight,3
DGnmkOJO5rx,massy.arias,We have to rewire our thoughts and remind ourselves this is what is necessary to grow and become the version of ourselves we know we can be :hundred_points:,We have to rewire our thoughts and remind ourselves this is what is necessary to grow and become the version of ourselves we know we can be :hundred_points:,9
DGnmkOJO5rx,bekimmylove,You know it’s the truth when they say your old life will completely crumble before your eyes when your new life is appearing… like Robert Downey Jr before he became Iron Man… lol funny how that works,You know it’s the truth when they say your old life will completely crumble before your eyes when your new life is appearing… like Robert Downey Jr before he became Iron Man… lol funny how that works,6
DGnmkOJO5rx,israelgot,Balance is the key for effort and consistency,Balance is the key for effort and consistency,36
DGnmkOJO5rx,brandon_lee_mills_coston,The price must be paid,The price must be paid,1
DGnmkOJO5rx,inked.n.linked,Feeling so heavy lately :crying_face:,Feeling so heavy lately :crying_face:,0
DGnmkOJO5rx,mck_ny_fl,"I totally disagree.. if you are a vibrational match for what you’re asking, you won’t have to sacrifice anything.. you’ll have to decide what’s more important","I totally disagree.. if you are a vibrational match for what you’re asking, you won’t have to sacrifice anything.. you’ll have to decide what’s more important",17
DGnmkOJO5rx,hedwig0013,I also asked for Love . Companionship . Family .,I also asked for Love . Companionship . Family .,3
DGnmkOJO5rx,akaentice,“This isn’t punishment. This is the price” :OK_hand_medium-dark_skin_tone:,“This isn’t punishment. This is the price” :OK_hand_medium-dark_skin_tone:,102
DGnmkOJO5rx,abthebarber__,It’s hard but it’s fair,It’s hard but it’s fair,3
DGnmkOJO5rx,jsyofficial_,"Ok yes but, there are certain scenarios that cause growth I wouldn’t wish on anyone idc how fast it expedites their process.","Ok yes but, there are certain scenarios that cause growth I wouldn’t wish on anyone idc how fast it expedites their process.",1
DGnmkOJO5rx,themattkaramazov,"Too many people out here want all their groceries in the same bag, but they don't want the bag to be heavy :)","Too many people out here want all their groceries in the same bag, but they don't want the bag to be heavy :)",212
