post_shortcode,commenter_username,comment_text,comment_likes
DHILiJuoJKh,_14.ivy,:red_heart::hundred_points:,0
DHILiJuoJKh,pearls_bysuzzy,:smiling_face_with_heart-eyes::smiling_face_with_heart-eyes::smiling_face_with_heart-eyes::smiling_face_with_heart-eyes:,0
DHILiJuoJKh,suraj.singh.7106,:red_heart:,0
DHILiJuoJKh,sonjasommer99,:yellow_heart:,0
DHILiJuoJKh,tony98._,:clapping_hands:,0
DHILiJuoJKh,heidi_1072,Its been awhile but I do remember and miss it quite a bit.:red_heart:,0
DHILiJuoJKh,iamrose_deedee,And the next day its all a memory? :face_with_tears_of_joy:,1
DHILiJuoJKh,elainejeanp,Many times :red_heart::red_heart:,1
DHILiJuoJKh,linda_blair888,No,0
DHILiJuoJKh,palangdab,Nice gudluck,0
DHILiJuoJKh,shellyshellyington,And I love every minute of it.!:red_heart:,3
DHILiJuoJKh,jenniferpollard07,"Yes, all for nothing",0
DHILiJuoJKh,missericasanch3z,@kareem.of.krop,0
DHILiJuoJKh,kkrisshiaa,@_bhaktikukreja10_ :smiling_face_with_tear::nazar_amulet::hundred_points:,0
DHILiJuoJKh,abbyblanchard95,Yes @therealtorveronica,0
DHILiJuoJKh,sanketbags,@thefeelsfix :red_heart::red_heart:,1
DHILiJuoJKh,nomot322,"There is no one that I’d rather loose sleep over than you, Sweet Man!:red_heart::red_heart::red_heart:",0
DHILiJuoJKh,rosemarie.lapora,Yes,0
DHILiJuoJKh,krishytags,@melvz.10 :hundred_points::beating_heart:,0
DHILiJuoJKh,bobsbiz54,The 1st 3 months we hardly slept couldn’t get enough of each other 1st date Christmas Day 10:30am lunch date went for 16 hours now she doesn’t speak to me or reply at all we both won’t find what we share ever again,1
DHILiJuoJKh,rudraaa15._,@mahiii04._ :raising_hands:,0
DHILiJuoJKh,balwir.kaur.9,Exactly :red_heart:,0
DHILiJuoJKh,trevinomagaly99,Yes,0
DHILiJuoJKh,mr.__.futuristic_,@_thejuu._06:raising_hands:,1
DHILiJuoJKh,okafortchidi,@jameelah__ng,0
DHILiJuoJKh,__hell_bound,No thanks sleeping is necessary :folded_hands:,0
DHILiJuoJKh,udaymicroartist,And realising now wasted a lot of time,7
DHILiJuoJKh,itsyourfavv_bibi,:heart_hands_medium-dark_skin_tone:,0
DHILiJuoJKh,abhamehta6263,Yes,0
DHILiJuoJKh,lazuroksana69,Yes.,0
DHILiJuoJKh,eesmaah_01,"Yes, that was when I can be easily deceived",0
DHILiJuoJKh,ds6036705,Its wrong to yourself dont do it,0
DHILiJuoJKh,varahi_05,Nice your good slepping,0
