post_shortcode,commenter_username,comment_text,comment_likes
DHjSCYmxG8N,santacruzmedicinals,W,15
DHjSCYmxG8N,black.star.lo,#impeachtrump,402
DHjSCYmxG8N,nickpalmisciano,This is pretty great. Thanks for supporting the hardest sport on the planet.,634
DHjSCYmxG8N,wallyirene_13,How much money did that trip cost us…,357
DHjSCYmxG8N,blondeinprint,Love that you attended. You can feel the patriotism :red_heart::red_heart::raising_hands::raising_hands:,194
DHjSCYmxG8N,steven_rudolph100,"He talks about saving the country money, but seem to leave a lot of it going on these trips on the weekend",129
DHjSCYmxG8N,strictly.stephanie,maybe help your country instead of stupid photo ops,1526
DHjSCYmxG8N,strike.it.rich,Trump is raggedy and everything he touches turns raggedy.,130
DHjSCYmxG8N,sp0rk9000,Literally what use does he have to be there,70
DHjSCYmxG8N,incurably_awesome,:face_vomiting::face_vomiting::face_vomiting:,143
DHjSCYmxG8N,incurably_awesome,Canada will NEVER be a part of America. You wish!:red_heart::Canada::Canada:,136
DHjSCYmxG8N,punkrockbobfoster,,244
DHjSCYmxG8N,darkurbanism,That face would make any newborn cry for 2 hours,438
DHjSCYmxG8N,braxtonm_,:fire::fire::fire: as a collegiate wrestler I approve this message.,99
DHjSCYmxG8N,mikeycortese,Best President shows up for the best sport! :United_States:,149
DHjSCYmxG8N,eternal_ecstasy_77,,58
DHjSCYmxG8N,madipwns,What does this have to do with our country?,522
DHjSCYmxG8N,joshrpool,Loved seeing all of the protests!,56
DHjSCYmxG8N,masta.g_,how much of our taxpayer money did he spend to be there,1012
DHjSCYmxG8N,fitted.ant,THATS MY PRESIDENT :United_States::eagle::United_States::eagle:,407
DHjSCYmxG8N,diannadahlgren,Gosh he’s unreal :fire: just when I thought I couldn’t like him any more! I DO! GO TRUMP!!!,320
DHjSCYmxG8N,ashtonparrish1776,Best. President. Ever. :United_States:,94
DHjSCYmxG8N,lockhood_martinez,Trash photo op,72
DHjSCYmxG8N,sillyfabilu,,122
DHjSCYmxG8N,enjoi_wander,You look like a orange ball sack,16
DHjSCYmxG8N,nikhilsingh_yadav,GREAT LEADER !!!! :U.S._Outlying_Islands::U.S._Outlying_Islands::U.S._Outlying_Islands::U.S._Outlying_Islands:,212
DHjSCYmxG8N,jdalef12,Real men’s sport :raising_hands: epic President,9
DHjSCYmxG8N,fred_behm,You have more sexual assault allegations than there are trans athletes in the entire NCAA that you banned,88
DHjSCYmxG8N,sarajnotme,:nauseated_face::face_vomiting::face_vomiting:,131
DHjSCYmxG8N,ironsidewrestling,Thank you for supporting our sport :United_States:,83
DHjSCYmxG8N,joi15612,Let's reinstate the federal employees you fired instead! Thank youuu!,375
DHjSCYmxG8N,emmyreigns11,Best president ever,246
DHjSCYmxG8N,screamingintotraffic,The worst president in US history :clown_face:,163
DHjSCYmxG8N,1467ccr,Spending more taxpayer money for a photo op? :clown_face:,149
DHjSCYmxG8N,abs.2616,"LOVED that you were there President Trump!!! You handle business AND you still have time to SHOW UP!!!! Keep doing amazing things!!! 
All these negative comments on here :face_with_tears_of_joy::face_with_tears_of_joy: why even follow this account? Yall are such haters, it hilarious :face_with_tears_of_joy: 
Thank you for showing up for these athletes tonight TRUMP!!!!",161
DHjSCYmxG8N,tyleriger,GBR,3
DHjSCYmxG8N,argyleandrew,:clown_face:,16
DHjSCYmxG8N,therealegotrip,,44
DHjSCYmxG8N,animike_beats,What a waste of our tax dollars to pay for him to travel to this.,12
DHjSCYmxG8N,tjeerd_de_wit,,133
DHjSCYmxG8N,cabapedas5kilo,"Trump goblog ai sia teu neleu si Israel ngebom rumah sakit, Aya dokter orang Amerika dijerona GE sia mah teu peduli ,gera modar sia trump :United_States::Israel::pile_of_poo::middle_finger:",1
DHjSCYmxG8N,_don_shel,Nice collar tie! :smiling_face_with_sunglasses:,1
DHjSCYmxG8N,youtoo5513,Stop lying about paid actors at town halls.  There are plenty of mad republicans at these town halls too! And veterans!,1
DHjSCYmxG8N,wick.nalker,Spending millions of tax payers dollars to go to these events while also trying to cut everything under the sun is crazy,2
DHjSCYmxG8N,tjeerd_de_wit,,78
DHjSCYmxG8N,mr__.__99,,3
DHjSCYmxG8N,raqueldakota,that first photo is great! :clapping_hands::clapping_hands: God Bless America,68
DHjSCYmxG8N,chicagojohndavid57,LOVE THIS!!:United_States::United_States::United_States::red_heart::red_heart::red_heart::blue_heart::blue_heart::blue_heart::United_States::United_States::United_States::flexed_biceps::flexed_biceps::flexed_biceps::collision::collision::collision:,4
DHjSCYmxG8N,mexicanadian1967,"Photo ops… 

	•	64 times mentioned in the Epstein report
	•	97 times pleaded the Fifth
	•	34 felony convictions
	•	91 criminal charges
	•	26 sexual assault allegations
	•	6 bankruptcies
	•	5 draft deferments
	•	4 indictments
	•	2 impeachments
	•	2 convicted companies
	•	1 fake university shut down
	•	1 fake charity shut down
	•	$25 million fraud settlement",11
DHjSCYmxG8N,kilumajata,,2
DHjSCYmxG8N,ck_dexter_haven,,202
DHjSCYmxG8N,rascal.55,Quit wasting our taxpayer money by showing up to American events when everyone hates you. Quit ruining our sports by showing up.,12
DHjSCYmxG8N,ronlpoorman,Trump’s version of kissing babies is to do this moronic BS.,1
DHjSCYmxG8N,shah_riaf,,3
DHjSCYmxG8N,nic22lowe,,3
DHjSCYmxG8N,carolinearuiz,"Thank you, President Trump, for making hard work, dedication, and perseverance great again!",3
DHjSCYmxG8N,ishkol_imarisha_,"Your representative stated that the Russian-speaking regions of Ukraine should belong to Russia. :enraged_face:Then by this logic of language, Great Britain can lay claim to the territory of the USA? I am a Russian-speaking resident of a region of Ukraine, I HATE Russia, which is a fascist state and brings war and destruction wherever it goes. You do not listen to us!! You act like dictator Putin!:enraged_face:",1
DHjSCYmxG8N,lyndabrouillette,I guess Trump has nothing to do than get his face in a photo. Embarassed this man is currently President of the USA. Can't wait for 2028 when Trump will be at the end of his time in Washington and We the People will elect a different President!!!,5
DHjSCYmxG8N,pattyrw1,"“The world is in chaos. Veterans are being left without healthcare. Judges are being threatened and harassed. Kids with special needs are about to be left out in the cold. People are about to starve because food banks' deliveries are being eliminated.

Trump is playing”",1
DHjSCYmxG8N,brownyadora,Love you Trump so much :folded_hands: Amen Yes yes yes,4
DHjSCYmxG8N,dr.michaelrice,:United_States:,4
DHjSCYmxG8N,mythm_3880,"If you can, attack the Islamic Republic of Iran tonight.:U.S._Outlying_Islands::Israel::fire::Iran:",2
DHjSCYmxG8N,shah_riaf,,3
DHjSCYmxG8N,shah_riaf,,3
DHjSCYmxG8N,kilumajata,,8
DHjSCYmxG8N,nyclongisland,BOOED,5
DHjSCYmxG8N,april_baque,You're not fooling anyone trump. We hate you. You're destroying our country and the worst president ever.,24
DHjSCYmxG8N,antuofermolori,:face_vomiting::face_vomiting::face_vomiting::face_vomiting::face_vomiting::pile_of_poo::pile_of_poo::pile_of_poo::pile_of_poo::pile_of_poo:,4
DHjSCYmxG8N,frias_mariah,He really needs to go to hell!,4
DHjSCYmxG8N,tjeerd_de_wit,,55
DHjSCYmxG8N,tjeerd_de_wit,,23
DHjSCYmxG8N,phillygeeeeee,Fuk. ADOLF TRUMPET N HIS MAN WIFE ELONIA AND HIS MISTRESS MAYBELLINE JD!,14
DHjSCYmxG8N,shah_riaf,,3
DHjSCYmxG8N,mrskiabrady,LOVE THIS!! Go big red!!!,3
DHjSCYmxG8N,msqotb,War cr|m|nal,2
DHjSCYmxG8N,richpecci,"Constipation Face 
= 
Full of :pile_of_poo:",1
DHjSCYmxG8N,lindamers,Despicably stupid. Makes me sick.,1
DHjSCYmxG8N,g.zeynep,Gazze de hastanede yanarak can veren insanlar gibi sende yanacaksın ama seninki bitmeyecek sonsuza kadar sürecek.  Rabbim tez zamanda tüm zalimleri kahretsin.,1
DHjSCYmxG8N,mcnugsthefrenchie,"The poster child of fraud, waste, and abuse.",1
DHjSCYmxG8N,incurably_awesome,Cowards DEMAND respect. Leaders EARN respect.,11
DHjSCYmxG8N,dadbodadonis,This is my new favorite genre of picture. Trump acting like he's doing something he has zero clue about. Kinda like any photo of him in the oval office.,5
DHjSCYmxG8N,randdom702,"Admit it, you can’t lower the price of groceries because you are incapable, weak and inept",6
DHjSCYmxG8N,notciasfinacialadvisor,:saluting_face::thumbs_up_dark_skin_tone:,1
DHjSCYmxG8N,larryka856,Help them!!!!!!:fire::fire::fire::fire::fire:,0
DHjSCYmxG8N,princes.12345.jv,:middle_finger::middle_finger::middle_finger::pile_of_poo::pile_of_poo::pile_of_poo::pile_of_poo::person_facepalming::person_facepalming::person_facepalming::clown_face::clown_face::clown_face::clown_face:,6
DHjSCYmxG8N,hac22477,"Why won’t you just go away, you fцскing criminal",13
DHjSCYmxG8N,bayernfaninnrw,":fire::fire:THE P*G FROM THE WHITE HOUSE, WHO IS BELITTLING AMERICA :face_with_tears_of_joy::face_with_tears_of_joy::face_with_tears_of_joy::face_with_tears_of_joy:",8
DHjSCYmxG8N,champagneroach,Tiny hands,9
DHjSCYmxG8N,momisalandscaper,Fascist pedofile. Really the worst thing to happen to the states in years.,9
DHjSCYmxG8N,andreamoceri_,On our money. Help the American people.,1
DHjSCYmxG8N,jamesinvegas,:face_vomiting: :face_vomiting:,1
DHjSCYmxG8N,avysyaya,:red_heart:President Donald John Trump:red_heart:,2
DHjSCYmxG8N,rich.ardq77,:clapping_hands::clapping_hands::clapping_hands:,2
DHjSCYmxG8N,mkafisher,:fire::fire::red_heart::red_heart:,5
DHjSCYmxG8N,mrmitchowens,Ugh,2
DHjSCYmxG8N,yogapilateschic.fit,Looks like he’s straining to have a BM!,0
DHjSCYmxG8N,mattscheffel,When your foundation gets into your cracks and wrinkles. What a disgusting man.,0
DHjSCYmxG8N,omaricemansharif,:United_States::United_States:,0
DHjSCYmxG8N,ronaldheck1949,tRUMP is scum,0
DHjSCYmxG8N,bonniebfit,"I love that he’s going to all the championship sports events :United_States: :clapping_hands:
A real people’s leader",1
DHjSCYmxG8N,splittinwigz2.0,You better bet he’ll show up to any event showcasing young men and women in tight clothing…..,1
DHjSCYmxG8N,dr.a.murad,"Gosh! 
Can’t even look at your face!
You’re so soo U.G.L.Y",0
DHjSCYmxG8N,miketaylorworld,Respect :United_States:,1
DHjSCYmxG8N,theocproject,"Trump wants to be a person but spends so much time dehumanizing, detaining and torturing. Photo-ops don’t absolve your conscious no matter how much people smile for the camera. They’re afraid of you. I understand that’s enough for you at this point, when you’re a star. May God bless you.",0
DHjSCYmxG8N,kansasschuhplattler,The Democrats have no Patriotism; only the Cloward-Piven plan.,0
DHjSCYmxG8N,allthingsearth2022,:smiling_face_with_heart-eyes::smiling_face_with_heart-eyes::smiling_face_with_heart-eyes::United_States::United_States::United_States::United_States::United_States::United_States::United_States:,1
DHjSCYmxG8N,briansweetnd,:fire::fire::fire:,1
DHjSCYmxG8N,fiasko_heinrich89,,0
DHjSCYmxG8N,propellpoints,How come his Orange face paint doesnt match his white hands ? Does anyone else think its odd to have an elderly man paint his face like a clown and be worshipped like a God ?,0
DHjSCYmxG8N,ermacisneros,:red_heart::red_heart::red_heart::red_heart::red_heart::red_heart:,1
DHjSCYmxG8N,sanna.wendt,"Hey Donald, where’s Swedens 120 million SEK that we donated three months ago to humanitarian aid through USAID that you have stolen? We want it back.",4
DHjSCYmxG8N,ermacisneros,:United_States::United_States::United_States::United_States::United_States::United_States:,1
DHjSCYmxG8N,ermacisneros,:red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart:,1
DHjSCYmxG8N,ermacisneros,:folded_hands::folded_hands::folded_hands:,1
DHjSCYmxG8N,jasonmp24,:clown_face:,0
DHjSCYmxG8N,madebybaz,"Well, that'll made the eggs and electricity much cheaper. Wait, what, what do you mean it didn't? But he spent a fortune going and posing for photos? Surely that's how you fix an economy? Fucking tangerine pillock.",0
DHjSCYmxG8N,greg.zernovak,trump fw wrestling :fire:,0
DHjSCYmxG8N,keajenson,Go back to Florda! You looser!,0
DHjSCYmxG8N,1muskchat,The face would make any new born or kid cry for a long time period of time,0
DHjSCYmxG8N,jmheisler,Cool. Is this what you call work…. EOs don’t all work and congress is not doing anything …lame duck,0
DHjSCYmxG8N,pelicanboy1954,Biden thinks the NCAA is just for him: No Clue As Always.,0
DHjSCYmxG8N,bayareasportsfanatic,he looks like he's having a constipation moment,0
DHjSCYmxG8N,kwayyy23,"He makes appearances, interacts with his people, puts America first, doesn’t sugar coat shit. How do you hate him",0
DHjSCYmxG8N,bnellyphx,:United_States::United_States::United_States:,1
DHjSCYmxG8N,cottneyejoe101,Loser,1
DHjSCYmxG8N,ashmoonthompson,Yuck:face_vomiting:,0
DHjSCYmxG8N,arthursandcastle,"Each day, new heights of idiocy.  Making America Go Away.  You are a vile embarrassment .",0
DHjSCYmxG8N,himike_808,You’re soo cool Mr. President,0
DHjSCYmxG8N,emmasbruk,:Ukraine::Ukraine::Ukraine::Ukraine::Ukraine::Ukraine::Ukraine::Ukraine: Slava Ukraini!,0
DHjSCYmxG8N,nancyu23,Natenyahu is bombing hospital LIVE !! #STOPTHEMADNESS #JUSTICE #savethechildrenofpalestine,0
DHjSCYmxG8N,ophelia__yingst_orsini,:heart_suit::heart_suit::heart_suit::heart_suit::heart_suit::heart_suit::heart_suit::heart_suit::heart_suit::heart_suit::heart_suit:,1
DHjSCYmxG8N,christophernicklin,Trump drags the dignity of the White House even lower. He just can’t help himself.,0
DHjSCYmxG8N,33dougnoble,M. O.  R.  O.  N. :face_with_tears_of_joy::face_with_tears_of_joy::face_with_tears_of_joy:,0
DHjSCYmxG8N,sahibebasokur,Gazze'deki soykırıma hayır çocukları diri diri yakıyorsunuz :double_exclamation_mark:,0
DHjSCYmxG8N,sahibebasokur,,0
DHjSCYmxG8N,mert.ylmaz.0.1,There is no law in Türkiye. An elected mayor was thrown into prison with a conspiracy. This happened with the help of judges and prosecutors on the government side.:face_with_tears_of_joy:,0
DHjSCYmxG8N,aiman309,Genocide funderrrr,0
